Poř. | Typ | Název tématu | Vedoucí práce | Garantující pracoviště | Program | Obor | Určené pro | Obsazeno/Max
1. | BP | Kariérový koučink versus kariérové poradenství | Dobiášová, M. | Katedra celoživotního vzdělávání a podpory studia (IVP) | B-KPV | -- | IVP | 0 / 2
2. | BP | Programy a metody kariérního poradenství na VŠ | Dobiášová, M. | Katedra celoživotního vzdělávání a podpory studia (IVP) | B-KPV | -- | IVP | 0 / 2
3. | BP | Psychohygiena v práci učitele | Dobiášová, M. | Katedra celoživotního vzdělávání a podpory studia (IVP) | B-UPV | -- | IVP | 0 / 2
4. | BP | Rozvoj komunikačních dovedností při výuce | Dobiášová, M. | Katedra celoživotního vzdělávání a podpory studia (IVP) | B-UPV | -- | IVP | 0 / 2
5. | BP | Spolupráce studentů VŠ s kariérními centry a jejich připravenost na trh práce | Dobiášová, M. | Katedra celoživotního vzdělávání a podpory studia (IVP) | B-KPV | -- | IVP | 0 / 2
6. | BP | Spolupráce vysokoškoláků s kariérními centry a rozvoj podnikatelských aktivit studentů | Dobiášová, M. | Katedra celoživotního vzdělávání a podpory studia (IVP) | B-KPV | -- | IVP | 0 / 1
7. | BP | Úloha motivace ve výchovně vzdělávacím procesu | Dobiášová, M. | Katedra celoživotního vzdělávání a podpory studia (IVP) | B-UPV | -- | IVP | 0 / 2
8. | BP | Historie a tradice zemědělského vzdělávání jako inspirace pro žákovské projekty na středních zemědělských školách | Dytrtová, R. | Katedra profesního a personálního rozvoje (IVP) | B-UPV | -- | IVP | 0 / 1
9. | BP | Motivace výběru profesního zaměření a perspektivy žáků/absolventů zvolené odborné školy | Dytrtová, R. | Katedra profesního a personálního rozvoje (IVP) | B-KPV | -- | IVP | 0 / 4
10. | BP | Motivace výběru studijního zaměření žáků 1. ročníku středních zemědělských škol – průzkum | Dytrtová, R. | Katedra profesního a personálního rozvoje (IVP) | B-KPV | -- | IVP | 0 / 2
11. | BP | Průřezové téma Člověk a svět práce a jeho aplikace ve výuce praktického vyučování na středních odborných školách | Dytrtová, R. | Katedra profesního a personálního rozvoje (IVP) | B-UPV | -- | IVP | 0 / 4
12. | BP | Průřezové téma Člověk a životní prostředí a jeho aplikace ve výuce odborných předmětů na středních odborných školách | Dytrtová, R. | Katedra profesního a personálního rozvoje (IVP) | B-UPV | -- | IVP | 0 / 1
13. | BP | Volba studijního a profesního zaměření maturantů středních zemědělských škol – průzkum | Dytrtová, R. | Katedra profesního a personálního rozvoje (IVP) | B-KPV | -- | IVP | 0 / 1
14. | BP | Kariérního poradenství a životní spokojenost studentů | Hlubučková, A. | Katedra profesního a personálního rozvoje (IVP) | B-KPV | -- | IVP | 0 / 3
15. | BP | Kariérové poradenství pro klienty se specifickými potřebami | Hlubučková, A. | Katedra profesního a personálního rozvoje (IVP) | B-KPV | -- | IVP | 0 / 4
16. | BP | Nástroje pro psychohygienu pedagogů | Hlubučková, A. | Katedra profesního a personálního rozvoje (IVP) | B-UPV | -- | IVP | 0 / 3
17. | BP | Závěr kariéry učitelů středních škol | Hlubučková, A. | Katedra profesního a personálního rozvoje (IVP) | B-UPV | -- | IVP | 0 / 3
18. | BP | Kariérové poradenství ve formálním vzdělávání | Jirsáková, J. | Katedra celoživotního vzdělávání a podpory studia (IVP) | B-KPV | -- | IVP | 0 / 4
